	RCC4-EV	RCC4-VHL
GNA15	0	0.583710801373894
GNAI1	341.804651380627	348.37653228775
GNAI2	2081.4341561462	1575.60739488444
GNAI2P1	0	0
GNAI2P2	0	0
GNAI3	129.023218338946	88.9755893753506
GNAL	130.152005385957	3.82705256705928
GNAO1	2.03304855352744	2.05064915201224
GNAQ	234.511329403452	238.128431020382
GNAQP1	0	0
GNAS	17367.7807688691	12330.5400485114
GNAS-AS1	21.0168263330169	20.5216617499087
GNAT1	1.1562329313176	0
GNAT2	8.97875544585612	2.03309666252337
GNAT3	0	0
GNAZ	13.7795383945696	35.1718918882832
GNB1	4735.38502342335	3958.96665328923
GNB1L	44.2860164969096	33.3703508688541
GNB2	2689.24242006273	2313.97058924628
GNB3	0	0
GNB4	248.255984214651	218.804588507026
GNB5	188.079343036496	228.765692995236
GNE	150.207373531895	86.2221926691442
GNG10	630.990893983762	558.314312065483
GNG10P1	0	0
GNG11	368.319196307464	621.037399518
GNG12	1912.993515156	3295.49000231799
GNG12-AS1	18.9743838106196	2.38130679873541
GNG13	0	0
GNG14	0	0
GNG2	0	2.7064376029485
GNG3	0	0
GNG4	114.881847506317	74.9301482721988
GNG5	2786.0394635569	2854.47758626701
GNG5P1	0	0
GNG5P2	0	0
GNG5P3	0	0
GNG5P5	0	0
GNG7	41.0294083403289	40.5502719736863
GNG8	0	0
GNGT1	0	3.35919581954303
GNGT2	3.39538709875158	4.02058734529984
GNL1	332.956578631606	340.683605849518
GNL2	1358.61249042116	1880.11724476322
GNL2P1	0	0
GNL3	1670.90351904846	1445.62707461645
GNL3L	226.774108000054	127.104227658056
GNL3LP1	0	30.6061672907142
GNLY	0	0
GNMT	5.38361576781518	12.2203633578609
GNPAT	503.652333851822	445.437606384169
GNPATP	0	0
GNPDA1	1019.35410819849	1057.03494925612
GNPDA2	147.741815030192	169.162622488119
GNPNAT1	591.684339534173	319.097131186773
GNPTAB	1243.62459759616	1339.6116770983
GNPTG	919.484384647512	942.633673597438
GNRH1	28.1356340496556	13.9038586445059
GNRH2	0	2.09625513175913
GNRHR	0	0
GNRHR2	8.79420753783042	11.9335774058211
GNRHR2P1	8.74510710260318	0
GNS	1489.46152829727	1978.59747860968
GOLGA1	110.504103060877	64.8773744306322
GOLGA2	696.238418926899	746.753036582517
GOLGA2P1	0	0
GOLGA2P10	143.983065341751	108.215157069466
GOLGA2P11	0	0
GOLGA2P2Y	2.74040472492737	1.38232048600141
GOLGA2P3Y	0	0
GOLGA2P4	0	0
GOLGA2P5	34.0124622366528	59.8942207589319
GOLGA2P6	0	0
GOLGA2P7	140.785706980578	239.317407308919
GOLGA2P8	0	0
GOLGA2P9	0	0
GOLGA3	248.904768505922	213.45443343458
GOLGA4	323.521101977601	276.241975305611
GOLGA5	542.280488796939	420.037705679864
GOLGA5P1	0	0
GOLGA6A	0	0
GOLGA6B	0	0
GOLGA6C	0	0
GOLGA6D	0	0
GOLGA6L1	0	0
GOLGA6L10	1.9014942513328	1.46777690605367
GOLGA6L11P	0	0
GOLGA6L16P	0	0
GOLGA6L17P	3.33501390088045	3.85794571088281
GOLGA6L2	0	0
GOLGA6L22	0	0
