Name	DRR068893	DRR068894	DRR068895	DRR095105	DRR095106	DRR095107	DRR095108	DRR095109	DRR095110	DRR095111	DRR095112	DRR095113	DRR095114	DRR095115	DRR095116
KWMTBOMO15063	76.970341	78.892098	75.795646	13.839500	14.134754	12.690473	17.957046	18.789509	19.487772	109.023305	110.415418	109.172900	190.341670	186.273927	183.840298
KWMTBOMO15064	23.621100	25.439254	28.463113	7.329729	6.390516	6.202880	8.226179	6.319305	6.161152	26.072202	28.728191	25.208959	18.397086	23.159289	23.475636
KWMTBOMO15065	18.348230	16.803886	18.725243	1.446085	1.324773	1.190475	0.945975	0.936070	1.083689	4.457934	4.627427	4.996945	0.536182	0.633424	0.549069
KWMTBOMO15066	91.484897	86.159225	83.698462	86.878850	82.931471	89.436868	102.004623	114.434378	105.013407	374.849393	371.282471	379.803846	67.906889	63.014809	79.852732
KWMTBOMO15067	27.016297	28.302142	24.310846	1.475860	1.574630	1.563947	1.646625	1.955431	1.499461	6.808796	6.004589	5.545194	0.988971	1.182620	0.976304
KWMTBOMO15068	5.993359	5.014261	5.743079	1.201338	2.075009	1.568101	1.480249	1.940546	1.934492	5.241265	5.055601	5.075877	12.504776	12.660079	11.757905
KWMTBOMO15069	7.645611	6.839649	6.872431	0.147577	0.187218	0.260328	0.285588	0.251410	0.190966	0.545360	0.648603	0.587284	0.094505	0.188445	0.077786
KWMTBOMO15070	101.273791	95.120101	96.277455	20.829814	21.732452	24.637493	31.789444	32.199633	29.601085	220.200677	205.857785	203.936137	387.722114	379.410222	378.015273
KWMTBOMO15071	235.778127	248.507229	234.252686	22.900224	19.026760	20.747848	15.839899	16.759521	15.698812	69.579697	67.248790	64.839759	69.996631	68.858661	79.962846
KWMTBOMO15072	125.438438	137.539480	123.533303	20.225881	17.766487	20.462178	24.810631	22.958245	29.973123	78.555616	90.942995	89.717896	28.014620	31.124069	33.130243
KWMTBOMO15073	163.351968	172.259757	162.728439	6.831137	7.137497	7.089570	8.598270	6.917458	5.941854	39.800517	40.310177	32.741050	32.801779	37.267704	34.759757
KWMTBOMO15074	4.801592	4.374261	4.267360	0.018405	0.000000	0.024736	0.000000	0.000000	0.023816	0.000000	0.028760	0.000000	0.000000	0.000000	0.015521
